item_id,Question,Final Answer,Reasoning,Option a,Option b,Option c,Option d,Language,Subdomain,Type,Domain
0,"If an employee of the business files a legal suit on business, it is considered in the books as",d,"A legal suit represents a potential obligation that depends on the outcome of a future event   the court's decision . Because the obligation is not yet confirmed, it is recorded as a contingent liability in the notes to accounts, rather than a confirmed liability or expense.",Legal Expense,Liability,Contingent Asset,Contingent Liability,english,Core Accountancy,moderate,
1,At the end of the accounting year the capital expenditures are shown in the,a,"Capital expenditures   CapEx  are funds used to acquire, upgrade, or maintain physical assets   like property, buildings, or equipment . Since these provide benefits over a long period   more than one year , they are capitalized and listed as non-current assets on the Balance Sheet.",assets side of the Balance Sheet.,liabilities side of the Balance Sheet.,debit side of the Profit and Loss A/c.,credit side of the Profit and Loss A/c.,english,Core Accountancy,moderate,
2,Which of the following is not a method of charging depreciation?,d,"Sinking Fund, Sum of Years' Digits, and Working Hours are all standard accounting methods for calculating depreciation. ""Asset's Life-cycle"" usually refers to Life Cycle Costing   a management accounting concept regarding total cost of ownership , not a specific method for charging periodic depreciation in financial books.",Sinking Fund Method,Sum of years Digit Method,Working hours Method,Asset's Life-cycle Method,english,Core Accountancy,moderate,
3,"If average inventory is `1,25,000 and closing inventory is `10,000 less than opening inventory then the value of closing inventory will be",d,"Formula: Average Inventory =   Opening Inventory + Closing Inventory  / 2. Let Opening Inventory = X. Then Closing Inventory = X - 10,000
Calculation: 1,25,000 =   X + X - 10,000  / 2.  2,50,000 = 2X - 10,000.  2,60,000 = 2X.  X   Opening  = 1,30,000.  Closing = 1,30,000 - 10,000 = 1,20,000","` 1,35,000","` 1,15,000","` 1,30,000","` 1,20,000",english,Core Accountancy,hard,
4,The Accommodation bill is drawn,c,"Unlike a trade bill, which is backed by the sale of goods, an accommodation bill is drawn specifically to help one or both parties raise money temporarily by discounting the bill with a bank. It is done for mutual financial accommodation without an underlying trade transaction.",to finance actual purchase or sale of goods.,to facilitate trade transmission.,when both parties are in need of funds.,None of the above,english,Core Accountancy,moderate,
5,"Balance of X's account in creditors ledger is transferred to X's account in debtors ledger, in this case",b,"A creditor account normally has a Credit balance. To transfer   remove  this balance, you must perform the opposite action, which is a Debit. The Journal entry for a set-off is: Debit Creditor   Creditors Ledger  and Credit Debtor   Debtors Ledger .",X's account in debtors ledger will be debited.,X's account in creditors ledger will be debited.,Suspense account will be debited.,None of the above,english,Core Accountancy,moderate,
6,Ground rent or surface rent means,d,"In royalty accounts, surface rent   or ground rent  is the payment made for using the surface of the land   e.g., for stacking materials or building sheds . This is a fixed amount payable to the landlord irrespective of production and is usually paid in addition to the minimum rent or royalty.",Minimum rent,Maximum royalty payable,Minimum royalty payable,Fixed rent payable in addition to minimum rent,english,Core Accountancy,moderate,
7,Accounting standard in India are issued by,c,"In India, the Accounting Standards Board   ASB , constituted by the Institute of Chartered Accountants of India   ICAI , formulates and issues Accounting Standards.",Government of India,Reserve Bank of India,The Institute of Chartered Accountants of India,The Institute of Accounting Standard of India,english,Core Accountancy,moderate,
8,"As on 31st March, 2017 debtors and additional bad debts are ` 8,00,000 and ` 10,000 respectively. If the provision for bad debts is made at 5% on debtors then amount of such provision will be The Institute of Cost Accountants of India 2 P-5: Financial Accounting - Bit Questions",c,"Adjust Debtors: Start with the Debtors balance and subtract the additional bad debts   which haven't been recorded yet .8,00,000 - 10,000 = 7,90,000. Calculate Provision: Calculate the percentage on the adjusted amount.5% of  7,90,000 = 39,500","`40,000","`50,000","`39,500","`40,500",english,Core Accountancy,hard,
9,Income and Expenditure Account is a,a,"The Income and Expenditure Account is prepared by Non-Profit Organizations to determine a Surplus or Deficit. It records expenses and incomes   losses and gains  for the current period, which classifies it strictly as a Nominal Account   similar to a Profit & Loss A/c .",Nominal Account,Real Account,Personal Account,Artificial Personal Account,english,Core Accountancy,moderate,
10,Creditors ledger adjustment account is opened in,a,"In the Self-Balancing Ledger system, the ""Adjustment Account"" represents the controlling account. The Creditors Ledger Adjustment Account   also called Total Creditors Account  is kept in the General Ledger to verify the total balance of the subsidiary Creditors Ledger.",General Ledger,Debtors Ledger,Creditors Ledger,Either   b  or   c ,english,Core Accountancy,moderate,
11,Receipts and Payments account is a,b,"The Receipts and Payments Account is essentially a summary of the Cash Book. Since Cash is an asset, this account is classified as a Real Account   Debit what comes in, Credit what goes out .",Nominal Account,Real Account,Personal Account,Artificial Personal Account,english,Core Accountancy,moderate,
12,"A resource owned by the business with purpose of using it for generating future profit, is known as",b,An asset is defined as a resource controlled by an entity as a result of past events and from which future economic benefits   profits/cash flows  are expected to flow to the entity.,Capital,Asset,Liability,Surplus,english,Core Accountancy,moderate,
13,Outward Invoice issued is a source document of,b,"An ""Outward Invoice"" is a bill sent by the seller to the buyer. This document serves as the primary evidence for a credit sale, which is recorded in the Sales Book.   Conversely, an Inward Invoice is for the Purchase Book .",Purchase Book,Sales Book,Return Inward Book,Return Outward Book,english,Core Accountancy,moderate,
14,Which of the following is of capital nature?,d,Any expense incurred to bring a fixed asset   like machinery  into working condition is capitalized   added to the cost of the asset  rather than treated as a revenue expense.,Commission on purchases,Cost of repairs,Rent of factory,Wages paid for installation of machinery,english,Core Accountancy,moderate,
15,"If any stock is taken by a co-venturer, it will be treated as",a,"When a co-venturer takes stock, it is treated essentially as a sale to that person. The Joint Venture account is credited   Income/Gain  and the Co-venturer’s account is debited.",an income of the joint venture.,an expense of the joint venture.,to be ignored from joint venture.,it will be treated in the personal books of the co-venturer.,english,Core Accountancy,moderate,
16,Contingent liability would appear,d,"Contingent liabilities   like a pending lawsuit  are not actual liabilities yet, so they are not included in the main total of the Balance Sheet but are disclosed in the footnotes   Notes to Accounts  for transparency.",on the liability side of the Balance Sheet.,on the assets side of the Balance Sheet.,do not shown in the books of accounts.,as a note in Balance Sheet. The Institute of Cost Accountants of India 3 P-5: Financial Accounting - Bit Questions,english,Core Accountancy,moderate,
17,Income statement of a Charitable Institution is known as,c,"Charitable institutions do not operate for ""Profit,"" so they prepare an ""Income and Expenditure Account"" to determine ""Surplus"" or ""Deficit.""",Statement of profit and loss,Receipts and Payments Account,Income and Expenditure Account,Profit and Loss Account,english,Core Accountancy,moderate,
18,Which of the following account is mainly prepared at the time of dissolution of the firm,c,"Upon dissolution, assets are sold and liabilities paid off. These transactions are recorded in a Realization Account to find the final profit or loss on the closing of the firm.",Revaluation A/c,Goodwill A/c,Realization A/c,Memorandum Revaluation A/c,english,Core Accountancy,moderate,
19,Advertisement expenses are apportioned among departments in the proportion of,a,"Advertisement expenses are incurred to generate sales. Therefore, logically, this cost is distributed among departments based on their respective sales figures.",sales of each department,purchases of each department,no. of units sold by each department,cost of sales of each department,english,Core Accountancy,moderate,
20,In Hire Purchase system cash price plus interest is known as,c,The total amount payable in a Hire Purchase system includes the Cash Price   actual cost  + Interest   financing charge . This total is called the Hire Purchase Price.,Capital value of asset,Book value of asset,Hire purchase price of asset,Hire purchase charges,english,Core Accountancy,moderate,
21,Which one is/ are the method/s of Accounting for Branches,d,"Dependent branches can be accounted for using the Debtors System, Stock and Debtors System, or Final Accounts System depending on the complexity and data available.",Final Accounts Method;,Debtors Method and,Stock and Debtors Method.,All of the above,english,Core Accountancy,moderate,
22,__________ is similar to the Profit and loss A/c,a,Both are nominal accounts prepared on an accrual basis. They both match revenue against expenses for a specific period.,Income and Expenditure A/c,Receipts and Payments A/c,Balance Sheet,None of the Above,english,Core Accountancy,easy,
23,"Kuntal draws a bill on shyam for ` 7,000.Kuntal endorsed it to Ram. Ram endorsed it to Rahim. The payee of the bill will be:",d,"The ""Payee"" is the person holding the right to receive the payment. Since the bill was last endorsed to Rahim, he is the current payee.",Kuntal,Ram,Shyam,Rahim,english,Core Accountancy,moderate,
24,Bad debts are apportioned among departments in the proportion of,a,"Bad debts occur when customers fail to pay for credit sales. Therefore, the expense is allocated based on the volume of sales.",Sales of each department,Number of units sold by each department,Cost of sales of each department,None of the above,english,Core Accountancy,moderate,
25,Which of the following is not a Fundamental Accounting Assumption?,d,"According to AS-1, the three Fundamental Accounting Assumptions are Going Concern, Consistency, and Accrual. Materiality is a convention/concept, not a fundamental assumption.",Going Concern,Consistency,Accrual,Materiality The Institute of Cost Accountants of India 4 P-5: Financial Accounting - Bit Questions,english,Core Accountancy,moderate,
26,________ is equal to estimated selling price less the estimated costs of completion and the estimated costs necessary to make the sale.,a,"This is the standard definition of NRV used for valuing inventory   Inventory is valued at Cost or NRV, whichever is lower .",Net Realizable value,Cost of Conversion,Cost of Purchase,None of the above,english,Core Accountancy,easy,
27,_______ are investments which are held beyond the current period as to sale or disposal.,a,Investments intended to be held for more than 12 months   beyond the current period  are classified as Non-current.,Non-current Investments,Current Investments,Current Liabilities,None of the above,english,Core Accountancy,easy,
28,An obligation which may or may not materialize is a/an _______________.,c,An obligation that depends on a future uncertain event   like winning or losing a court case  is a Contingent Liability.,Loss,Asset,Contingent Liability,None of the above,english,Core Accountancy,easy,
29,________________ voucher denotes payment of cash.,a,"In vouching, a specific ""Cash Payment Voucher"" is used to authorize and record the outflow of physical cash.",Cash Payment,Cash Receipt,Bank Payment,All of the above,english,Core Accountancy,easy,
30,Which of the following is an example of Capital Expenditure?,d,"Inventory   Asset/Expense , Insurance   Revenue Exp , and Taxes   Revenue Exp  are not Capital Expenditures. Capital Expenditure refers to buying fixed assets like land, buildings, or machinery.","Inventory of raw materials, work-in-progress and finished goods;",Insurance premium;,Taxes and legal expenses;,None of the above.,english,Core Accountancy,moderate,
31,Which of the following errors is not disclosed by a Trial Balance?,d,"explanation: A Trial Balance only checks if Total Debits = Total Credits. It cannot detect:. Omission: Entry completely missing   Debit 0, Credit 0 .. Commission: Wrong account but correct side   e.g., Debiting Mr. A instead of Mr. B .Compensating: One error cancels out another.",Errors of Omission,Errors of Commission,Compensating Errors,All of the above,english,Core Accountancy,moderate,
32,"___________ is specially suited to mines, oil wells, quarries, sandpits and similar assets of a wasting character.",a,"Depletion is the term used for the reduction in the value of natural resources   mines, oil wells  as the resource is extracted   wasted away .",Depletion,Depreciation,Amortisation,Dilapidation,english,Core Accountancy,easy,
